,mean(alpha),sd(alpha),mean(beta),sd(beta),mean(gamma),sd(gamma),mean(eta),sd(eta)
EC,0.01466106,0.01061487,0.1666341,0.1259699,0.4565738,0.04124869,0.2212363,0.16208
NEC,0.01967153,0.01673839,0.1415571,0.1594637,0.4390623,0.08324809,0.2325148,0.1461254
